adm,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
HI,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k
ID,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k
IL,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k
IN,100k<n<250k,100k<n<250k,250k<n<750k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,250k<n<750k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k
IA,n<100k,n<100k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,n<100k,n<100k,n<100k,100k<n<250k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k
KS,n<100k,n<100k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,n<100k,n<100k,100k<n<250k
KY,n<100k,n<100k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k
LA,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k
ME,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k
MD,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,100k<n<250k,100k<n<250k,100k<n<250k,250k<n<750k,100k<n<250k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k
MA,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k
MI,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k
MN,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k
MS,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k
MO,100k<n<250k,100k<n<250k,250k<n<750k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,250k<n<750k,250k<n<750k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k
MT,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k
NE,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k
NV,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,100k<n<250k,n<100k,100k<n<250k,n<100k,n<100k,n<100k,n<100k,n<100k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,n<100k,n<100k,n<100k,n<100k
NH,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k
NJ,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k
NM,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k
